date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:15	789/789	---MCZ	200	added ('OK')	text/plain	date:Tue,%2007%20Apr%202026%2007:15:14%20GMT	https://risinternational.net/robots.txt		(from )
12:45:15	157853/157853	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Apr%202026%2007:15:15%20GMT	https://risinternational.net/	C:/My_Web_Sites/RIS_International/risinternational.net/index.html	(from )
12:45:16	102526/102526	---M-Z	200	added ('OK')	text/css	etag:%22656632a7-54f3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	C:/My_Web_Sites/RIS_International/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	(from https://risinternational.net/)
12:45:16	18454/18454	---MCZ	200	added ('OK')	text/css	etag:W/%224816-00NTceTFOXSCfuleSHYg+tVGAkA%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	C:/My_Web_Sites/RIS_International/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	(from https://risinternational.net/)
12:45:16	20643/20643	---MCZ	200	added ('OK')	text/css	etag:W/%22692f7652-50a3%22	https://risinternational.net/static/main/css/global.css	C:/My_Web_Sites/RIS_International/risinternational.net/static/main/css/global.css	(from https://risinternational.net/)
12:45:17	68/68	---MCZ	404	error ('Not%20Found')	text/plain	etag:W/%2244-tpecwjKy7e4PxuE7IfrHja376xI%22	https://cdn.jsdelivr.net/npm/slideout@1.0.1/dist/slideout.min.css	C:/My_Web_Sites/RIS_International/cdn.jsdelivr.net/npm/slideout@1.0.1/dist/slideout.min.css	(from https://risinternational.net/)
12:45:17	26053/26053	---MCZ	200	added ('OK')	text/css	date:Tue,%2010%20Mar%202026%2003:48:33%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My_Web_Sites/RIS_International/unpkg.com/aos@2.3.1/dist/aos.css	(from https://risinternational.net/)
12:45:17	14239/14239	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2006%20Feb%202026%2020:58:57%20GMT	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/My_Web_Sites/RIS_International/unpkg.com/aos@2.3.1/dist/aos.js	(from https://risinternational.net/)
12:45:17	35412/35412	---M-Z	200	added ('OK')	application/javascript	etag:%22649c91f5-3479%22	https://cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/Draggable.min.js	C:/My_Web_Sites/RIS_International/cdnjs.cloudflare.com/ajax/libs/gsap/3.12.2/Draggable.min.js	(from https://risinternational.net/)
12:45:17	24015/24015	---MCZ	200	added ('OK')	text/css	etag:W/%22692f7652-5dcf%22	https://risinternational.net/static/main/css/index.css	C:/My_Web_Sites/RIS_International/risinternational.net/static/main/css/index.css	(from https://risinternational.net/)
12:45:18	6927428/6927428	---M--	200	added ('OK')	image/png	etag:%22692f7652-69b444%22	https://risinternational.net/static/main/images/RISNEWLOGO.png	C:/My_Web_Sites/RIS_International/risinternational.net/static/main/images/RISNEWLOGO.png	(from https://risinternational.net/)
12:45:19	94459/94459	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Apr%202026%2007:15:19%20GMT	https://risinternational.net/services/	C:/My_Web_Sites/RIS_International/risinternational.net/services/index.html	(from https://risinternational.net/)
12:45:19	125523/125523	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Apr%202026%2007:15:19%20GMT	https://risinternational.net/aboutus/	C:/My_Web_Sites/RIS_International/risinternational.net/aboutus/index.html	(from https://risinternational.net/)
12:45:21	22010003/22010003	---M--	200	added ('OK')	video/mp4	etag:%22692f7652-14fd893%22	https://risinternational.net/static/main/videos/WelcomeRISVideo.mp4	C:/My_Web_Sites/RIS_International/risinternational.net/static/main/videos/WelcomeRISVideo.mp4	(from https://risinternational.net/)
